Statistic,Year,Type of Land Use,Region,UNIT,VALUE
Area Farmed in June,2018,Winter wheat,State,000 Hectares,54.4
Area Farmed in June,2018,Winter wheat,Northern and Western,000 Hectares,0.5
Area Farmed in June,2018,Winter wheat,Border,000 Hectares,0.4
Area Farmed in June,2018,Winter wheat,West,000 Hectares,0.1
Area Farmed in June,2018,Winter wheat,Southern,000 Hectares,16.9
Area Farmed in June,2018,Winter wheat,Mid-West,000 Hectares,3.5
Area Farmed in June,2018,Winter wheat,South-East,000 Hectares,9.5
Area Farmed in June,2018,Winter wheat,South-West,000 Hectares,3.9
Area Farmed in June,2018,Winter wheat,Eastern and Midland,000 Hectares,37.1
Area Farmed in June,2018,Winter wheat,Dublin and Mid-East,000 Hectares,33.3
Area Farmed in June,2018,Winter wheat,Midland,000 Hectares,3.8
Area Farmed in June,2018,Spring wheat,State,000 Hectares,3.6
Area Farmed in June,2018,Spring wheat,Northern and Western,000 Hectares,0.2
Area Farmed in June,2018,Spring wheat,Border,000 Hectares,0.2
Area Farmed in June,2018,Spring wheat,West,000 Hectares,0.1
Area Farmed in June,2018,Spring wheat,Southern,000 Hectares,1.9
Area Farmed in June,2018,Spring wheat,Mid-West,000 Hectares,0.4
Area Farmed in June,2018,Spring wheat,South-East,000 Hectares,0.7
Area Farmed in June,2018,Spring wheat,South-West,000 Hectares,0.8
Area Farmed in June,2018,Spring wheat,Eastern and Midland,000 Hectares,1.4
Area Farmed in June,2018,Spring wheat,Dublin and Mid-East,000 Hectares,1.2
Area Farmed in June,2018,Spring wheat,Midland,000 Hectares,0.3
Area Farmed in June,2018,Total oats,State,000 Hectares,17.8
Area Farmed in June,2018,Total oats,Northern and Western,000 Hectares,1.2
Area Farmed in June,2018,Total oats,Border,000 Hectares,0.5
Area Farmed in June,2018,Total oats,West,000 Hectares,0.7
Area Farmed in June,2018,Total oats,Southern,000 Hectares,9.0
Area Farmed in June,2018,Total oats,Mid-West,000 Hectares,1.6
Area Farmed in June,2018,Total oats,South-East,000 Hectares,5.5
Area Farmed in June,2018,Total oats,South-West,000 Hectares,1.9
Area Farmed in June,2018,Total oats,Eastern and Midland,000 Hectares,7.5
Area Farmed in June,2018,Total oats,Dublin and Mid-East,000 Hectares,5.8
Area Farmed in June,2018,Total oats,Midland,000 Hectares,1.7
Area Farmed in June,2018,Winter oats,State,000 Hectares,10.2
Area Farmed in June,2018,Winter oats,Northern and Western,000 Hectares,0.2
Area Farmed in June,2018,Winter oats,Border,000 Hectares,0.1
Area Farmed in June,2018,Winter oats,West,000 Hectares,0.1
Area Farmed in June,2018,Winter oats,Southern,000 Hectares,4.9
Area Farmed in June,2018,Winter oats,Mid-West,000 Hectares,1.0
Area Farmed in June,2018,Winter oats,South-East,000 Hectares,3.3
Area Farmed in June,2018,Winter oats,South-West,000 Hectares,0.6
Area Farmed in June,2018,Winter oats,Eastern and Midland,000 Hectares,5.1
Area Farmed in June,2018,Winter oats,Dublin and Mid-East,000 Hectares,4.2
Area Farmed in June,2018,Winter oats,Midland,000 Hectares,0.9
Area Farmed in June,2018,Spring oats,State,000 Hectares,7.6
Area Farmed in June,2018,Spring oats,Northern and Western,000 Hectares,1.0
Area Farmed in June,2018,Spring oats,Border,000 Hectares,0.4
Area Farmed in June,2018,Spring oats,West,000 Hectares,0.6
Area Farmed in June,2018,Spring oats,Southern,000 Hectares,4.1
Area Farmed in June,2018,Spring oats,Mid-West,000 Hectares,0.6
Area Farmed in June,2018,Spring oats,South-East,000 Hectares,2.2
Area Farmed in June,2018,Spring oats,South-West,000 Hectares,1.3
Area Farmed in June,2018,Spring oats,Eastern and Midland,000 Hectares,2.5
Area Farmed in June,2018,Spring oats,Dublin and Mid-East,000 Hectares,1.6
Area Farmed in June,2018,Spring oats,Midland,000 Hectares,0.8
Area Farmed in June,2018,Total barley,State,000 Hectares,185.2
Area Farmed in June,2018,Total barley,Northern and Western,000 Hectares,6.3
Area Farmed in June,2018,Total barley,Border,000 Hectares,3.4
Area Farmed in June,2018,Total barley,West,000 Hectares,2.8
Area Farmed in June,2018,Total barley,Southern,000 Hectares,104.5
Area Farmed in June,2018,Total barley,Mid-West,000 Hectares,15.3
Area Farmed in June,2018,Total barley,South-East,000 Hectares,59.9
Area Farmed in June,2018,Total barley,South-West,000 Hectares,29.3
Area Farmed in June,2018,Total barley,Eastern and Midland,000 Hectares,74.4
Area Farmed in June,2018,Total barley,Dublin and Mid-East,000 Hectares,52.3
Area Farmed in June,2018,Total barley,Midland,000 Hectares,22.2
Area Farmed in June,2018,Winter barley,State,000 Hectares,57.9
Area Farmed in June,2018,Winter barley,Northern and Western,000 Hectares,1.7
Area Farmed in June,2018,Winter barley,Border,000 Hectares,1.3
Area Farmed in June,2018,Winter barley,West,000 Hectares,0.4
Area Farmed in June,2018,Winter barley,Southern,000 Hectares,28.0
Area Farmed in June,2018,Winter barley,Mid-West,000 Hectares,7.0
Area Farmed in June,2018,Winter barley,South-East,000 Hectares,11.2
Area Farmed in June,2018,Winter barley,South-West,000 Hectares,9.8
Area Farmed in June,2018,Winter barley,Eastern and Midland,000 Hectares,28.2
Area Farmed in June,2018,Winter barley,Dublin and Mid-East,000 Hectares,22.0
Area Farmed in June,2018,Winter barley,Midland,000 Hectares,6.2
Area Farmed in June,2018,Spring barley,State,000 Hectares,127.4
Area Farmed in June,2018,Spring barley,Northern and Western,000 Hectares,4.6
Area Farmed in June,2018,Spring barley,Border,000 Hectares,2.2
Area Farmed in June,2018,Spring barley,West,000 Hectares,2.4
Area Farmed in June,2018,Spring barley,Southern,000 Hectares,76.6
Area Farmed in June,2018,Spring barley,Mid-West,000 Hectares,8.4
Area Farmed in June,2018,Spring barley,South-East,000 Hectares,48.7
Area Farmed in June,2018,Spring barley,South-West,000 Hectares,19.5
Area Farmed in June,2018,Spring barley,Eastern and Midland,000 Hectares,46.2
Area Farmed in June,2018,Spring barley,Dublin and Mid-East,000 Hectares,30.2
Area Farmed in June,2018,Spring barley,Midland,000 Hectares,16.0
Area Farmed in June,2018,Other cereals,State,000 Hectares,0.6
Area Farmed in June,2018,Other cereals,Northern and Western,000 Hectares,0.0
Area Farmed in June,2018,Other cereals,Border,000 Hectares,0.0
Area Farmed in June,2018,Other cereals,West,000 Hectares,0.0
Area Farmed in June,2018,Other cereals,Southern,000 Hectares,0.2
Area Farmed in June,2018,Other cereals,Mid-West,000 Hectares,0.0
Area Farmed in June,2018,Other cereals,South-East,000 Hectares,0.1
Area Farmed in June,2018,Other cereals,South-West,000 Hectares,0.0
Area Farmed in June,2018,Other cereals,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2018,Other cereals,Dublin and Mid-East,000 Hectares,0.2
Area Farmed in June,2018,Other cereals,Midland,000 Hectares,0.2
Area Farmed in June,2018,Rough grazing in use,State,000 Hectares,524.1
Area Farmed in June,2018,Rough grazing in use,Northern and Western,000 Hectares,242.7
Area Farmed in June,2018,Rough grazing in use,Border,000 Hectares,121.6
Area Farmed in June,2018,Rough grazing in use,West,000 Hectares,121.1
Area Farmed in June,2018,Rough grazing in use,Southern,000 Hectares,199.8
Area Farmed in June,2018,Rough grazing in use,Mid-West,000 Hectares,47.5
Area Farmed in June,2018,Rough grazing in use,South-East,000 Hectares,22.2
Area Farmed in June,2018,Rough grazing in use,South-West,000 Hectares,130.0
Area Farmed in June,2018,Rough grazing in use,Eastern and Midland,000 Hectares,81.7
Area Farmed in June,2018,Rough grazing in use,Dublin and Mid-East,000 Hectares,38.7
Area Farmed in June,2018,Rough grazing in use,Midland,000 Hectares,43.0
Area Farmed in June,2019,Area farmed (AAU),State,000 Hectares,4524.4
Area Farmed in June,2019,Area farmed (AAU),Northern and Western,000 Hectares,1516.9
Area Farmed in June,2019,Area farmed (AAU),Border,000 Hectares,669.7
Area Farmed in June,2019,Area farmed (AAU),West,000 Hectares,847.2
Area Farmed in June,2019,Area farmed (AAU),Southern,000 Hectares,2025.7
Area Farmed in June,2019,Area farmed (AAU),Mid-West,000 Hectares,740.0
Area Farmed in June,2019,Area farmed (AAU),South-East,000 Hectares,487.9
Area Farmed in June,2019,Area farmed (AAU),South-West,000 Hectares,797.8
Area Farmed in June,2019,Area farmed (AAU),Eastern and Midland,000 Hectares,981.8
Area Farmed in June,2019,Area farmed (AAU),Dublin and Mid-East,000 Hectares,523.5
Area Farmed in June,2019,Area farmed (AAU),Midland,000 Hectares,458.3
Area Farmed in June,2019,Crops and pasture,State,000 Hectares,4002.8
Area Farmed in June,2019,Crops and pasture,Northern and Western,000 Hectares,1272.6
Area Farmed in June,2019,Crops and pasture,Border,000 Hectares,544.5
Area Farmed in June,2019,Crops and pasture,West,000 Hectares,728.1
Area Farmed in June,2019,Crops and pasture,Southern,000 Hectares,1829.4
Area Farmed in June,2019,Crops and pasture,Mid-West,000 Hectares,695.5
Area Farmed in June,2019,Crops and pasture,South-East,000 Hectares,467.1
Area Farmed in June,2019,Crops and pasture,South-West,000 Hectares,666.8
Area Farmed in June,2019,Crops and pasture,Eastern and Midland,000 Hectares,900.8
Area Farmed in June,2019,Crops and pasture,Dublin and Mid-East,000 Hectares,474.9
Area Farmed in June,2019,Crops and pasture,Midland,000 Hectares,425.9
Area Farmed in June,2019,Pasture,State,000 Hectares,2376.7
Area Farmed in June,2019,Pasture,Northern and Western,000 Hectares,882.7
Area Farmed in June,2019,Pasture,Border,000 Hectares,371.1
Area Farmed in June,2019,Pasture,West,000 Hectares,511.6
Area Farmed in June,2019,Pasture,Southern,000 Hectares,1010.5
Area Farmed in June,2019,Pasture,Mid-West,000 Hectares,410.2
Area Farmed in June,2019,Pasture,South-East,000 Hectares,227.0
Area Farmed in June,2019,Pasture,South-West,000 Hectares,373.2
Area Farmed in June,2019,Pasture,Eastern and Midland,000 Hectares,483.5
Area Farmed in June,2019,Pasture,Dublin and Mid-East,000 Hectares,243.5
Area Farmed in June,2019,Pasture,Midland,000 Hectares,240.1
Area Farmed in June,2019,Hay,State,000 Hectares,180.8
Area Farmed in June,2019,Hay,Northern and Western,000 Hectares,50.6
Area Farmed in June,2019,Hay,Border,000 Hectares,21.9
Area Farmed in June,2019,Hay,West,000 Hectares,28.7
Area Farmed in June,2019,Hay,Southern,000 Hectares,82.6
Area Farmed in June,2019,Hay,Mid-West,000 Hectares,48.8
Area Farmed in June,2019,Hay,South-East,000 Hectares,17.0
Area Farmed in June,2019,Hay,South-West,000 Hectares,16.8
Area Farmed in June,2019,Hay,Eastern and Midland,000 Hectares,47.6
Area Farmed in June,2019,Hay,Dublin and Mid-East,000 Hectares,24.5
Area Farmed in June,2019,Hay,Midland,000 Hectares,23.1
Area Farmed in June,2019,Grass silage,State,000 Hectares,1088.7
Area Farmed in June,2019,Grass silage,Northern and Western,000 Hectares,320.0
Area Farmed in June,2019,Grass silage,Border,000 Hectares,142.1
Area Farmed in June,2019,Grass silage,West,000 Hectares,177.9
Area Farmed in June,2019,Grass silage,Southern,000 Hectares,559.8
Area Farmed in June,2019,Grass silage,Mid-West,000 Hectares,209.3
Area Farmed in June,2019,Grass silage,South-East,000 Hectares,123.4
Area Farmed in June,2019,Grass silage,South-West,000 Hectares,227.1
Area Farmed in June,2019,Grass silage,Eastern and Midland,000 Hectares,209.0
Area Farmed in June,2019,Grass silage,Dublin and Mid-East,000 Hectares,84.3
Area Farmed in June,2019,Grass silage,Midland,000 Hectares,124.6
Area Farmed in June,2019,"Total crops, fruit and horticulture",State,000 Hectares,356.7
Area Farmed in June,2019,"Total crops, fruit and horticulture",Northern and Western,000 Hectares,19.3
Area Farmed in June,2019,"Total crops, fruit and horticulture",Border,000 Hectares,9.4
Area Farmed in June,2019,"Total crops, fruit and horticulture",West,000 Hectares,9.9
Area Farmed in June,2019,"Total crops, fruit and horticulture",Southern,000 Hectares,176.6
Area Farmed in June,2019,"Total crops, fruit and horticulture",Mid-West,000 Hectares,27.1
Area Farmed in June,2019,"Total crops, fruit and horticulture",South-East,000 Hectares,99.8
Area Farmed in June,2019,"Total crops, fruit and horticulture",South-West,000 Hectares,49.7
Area Farmed in June,2019,"Total crops, fruit and horticulture",Eastern and Midland,000 Hectares,160.7
Area Farmed in June,2019,"Total crops, fruit and horticulture",Dublin and Mid-East,000 Hectares,122.6
Area Farmed in June,2019,"Total crops, fruit and horticulture",Midland,000 Hectares,38.1
Area Farmed in June,2019,Beans and peas,State,000 Hectares,8.1
Area Farmed in June,2019,Beans and peas,Northern and Western,000 Hectares,0.1
Area Farmed in June,2019,Beans and peas,Border,000 Hectares,0.0
Area Farmed in June,2019,Beans and peas,West,000 Hectares,0.0
Area Farmed in June,2019,Beans and peas,Southern,000 Hectares,3.8
Area Farmed in June,2019,Beans and peas,Mid-West,000 Hectares,0.3
Area Farmed in June,2019,Beans and peas,South-East,000 Hectares,2.8
Area Farmed in June,2019,Beans and peas,South-West,000 Hectares,0.8
Area Farmed in June,2019,Beans and peas,Eastern and Midland,000 Hectares,4.3
Area Farmed in June,2019,Beans and peas,Dublin and Mid-East,000 Hectares,3.5
Area Farmed in June,2019,Beans and peas,Midland,000 Hectares,0.7
Area Farmed in June,2019,Oilseed rape,State,000 Hectares,9.2
Area Farmed in June,2019,Oilseed rape,Northern and Western,000 Hectares,0.1
Area Farmed in June,2019,Oilseed rape,Border,000 Hectares,0.0
Area Farmed in June,2019,Oilseed rape,West,000 Hectares,0.0
Area Farmed in June,2019,Oilseed rape,Southern,000 Hectares,3.5
Area Farmed in June,2019,Oilseed rape,Mid-West,000 Hectares,0.9
Area Farmed in June,2019,Oilseed rape,South-East,000 Hectares,2.2
Area Farmed in June,2019,Oilseed rape,South-West,000 Hectares,0.3
Area Farmed in June,2019,Oilseed rape,Eastern and Midland,000 Hectares,5.7
Area Farmed in June,2019,Oilseed rape,Dublin and Mid-East,000 Hectares,4.9
Area Farmed in June,2019,Oilseed rape,Midland,000 Hectares,0.8
Area Farmed in June,2019,Arable silage,State,000 Hectares,2.7
Area Farmed in June,2019,Arable silage,Northern and Western,000 Hectares,0.6
Area Farmed in June,2019,Arable silage,Border,000 Hectares,0.4
Area Farmed in June,2019,Arable silage,West,000 Hectares,0.2
Area Farmed in June,2019,Arable silage,Southern,000 Hectares,1.4
Area Farmed in June,2019,Arable silage,Mid-West,000 Hectares,0.2
Area Farmed in June,2019,Arable silage,South-East,000 Hectares,0.6
Area Farmed in June,2019,Arable silage,South-West,000 Hectares,0.6
Area Farmed in June,2019,Arable silage,Eastern and Midland,000 Hectares,0.7
Area Farmed in June,2019,Arable silage,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2019,Arable silage,Midland,000 Hectares,0.4
Area Farmed in June,2019,Maize silage,State,000 Hectares,16.6
Area Farmed in June,2019,Maize silage,Northern and Western,000 Hectares,0.2
Area Farmed in June,2019,Maize silage,Border,000 Hectares,0.2
Area Farmed in June,2019,Maize silage,West,000 Hectares,0.1
Area Farmed in June,2019,Maize silage,Southern,000 Hectares,10.7
Area Farmed in June,2019,Maize silage,Mid-West,000 Hectares,1.2
Area Farmed in June,2019,Maize silage,South-East,000 Hectares,5.1
Area Farmed in June,2019,Maize silage,South-West,000 Hectares,4.5
Area Farmed in June,2019,Maize silage,Eastern and Midland,000 Hectares,5.7
Area Farmed in June,2019,Maize silage,Dublin and Mid-East,000 Hectares,4.6
Area Farmed in June,2019,Maize silage,Midland,000 Hectares,1.1
Area Farmed in June,2019,Fodder rape and kale,State,000 Hectares,1.2
Area Farmed in June,2019,Fodder rape and kale,Northern and Western,000 Hectares,0.2
Area Farmed in June,2019,Fodder rape and kale,Border,000 Hectares,0.0
Area Farmed in June,2019,Fodder rape and kale,West,000 Hectares,0.2
Area Farmed in June,2019,Fodder rape and kale,Southern,000 Hectares,0.4
Area Farmed in June,2019,Fodder rape and kale,Mid-West,000 Hectares,0.1
Area Farmed in June,2019,Fodder rape and kale,South-East,000 Hectares,0.2
Area Farmed in June,2019,Fodder rape and kale,South-West,000 Hectares,0.1
Area Farmed in June,2019,Fodder rape and kale,Eastern and Midland,000 Hectares,0.5
Area Farmed in June,2019,Fodder rape and kale,Dublin and Mid-East,000 Hectares,0.2
Area Farmed in June,2019,Fodder rape and kale,Midland,000 Hectares,0.3
Area Farmed in June,2019,Potatoes,State,000 Hectares,8.7
Area Farmed in June,2019,Potatoes,Northern and Western,000 Hectares,0.8
Area Farmed in June,2019,Potatoes,Border,000 Hectares,0.8
Area Farmed in June,2019,Potatoes,West,000 Hectares,0.1
Area Farmed in June,2019,Potatoes,Southern,000 Hectares,2.9
Area Farmed in June,2019,Potatoes,Mid-West,000 Hectares,0.3
Area Farmed in June,2019,Potatoes,South-East,000 Hectares,1.8
Area Farmed in June,2019,Potatoes,South-West,000 Hectares,0.8
Area Farmed in June,2019,Potatoes,Eastern and Midland,000 Hectares,4.9
Area Farmed in June,2019,Potatoes,Dublin and Mid-East,000 Hectares,4.8
Area Farmed in June,2019,Potatoes,Midland,000 Hectares,0.2
Area Farmed in June,2019,Turnips,State,000 Hectares,0.8
Area Farmed in June,2019,Turnips,Northern and Western,000 Hectares,0.1
Area Farmed in June,2019,Turnips,Border,000 Hectares,0.0
Area Farmed in June,2019,Turnips,West,000 Hectares,0.1
Area Farmed in June,2019,Turnips,Southern,000 Hectares,0.3
Area Farmed in June,2019,Turnips,Mid-West,000 Hectares,0.0
Area Farmed in June,2019,Turnips,South-East,000 Hectares,0.2
Area Farmed in June,2019,Turnips,South-West,000 Hectares,0.1
Area Farmed in June,2019,Turnips,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2019,Turnips,Dublin and Mid-East,000 Hectares,0.4
Area Farmed in June,2019,Turnips,Midland,000 Hectares,0.0
Area Farmed in June,2019,Beet,State,000 Hectares,9.9
Area Farmed in June,2019,Beet,Northern and Western,000 Hectares,0.3
Area Farmed in June,2019,Beet,Border,000 Hectares,0.0
Area Farmed in June,2019,Beet,West,000 Hectares,0.2
Area Farmed in June,2019,Beet,Southern,000 Hectares,6.7
Area Farmed in June,2019,Beet,Mid-West,000 Hectares,0.6
Area Farmed in June,2019,Beet,South-East,000 Hectares,3.5
Area Farmed in June,2019,Beet,South-West,000 Hectares,2.6
